split,variant,n_bins,degree,alpha,trend_weight,front_weight,macro_f1,per_class_f1,counts
small_prefix,quota,4,1,3.0,0.0,1.0,0.7627104040326717,"{'0': 0.8031634446397188, '1': 0.9046679815910585, '2': 0.5802997858672377}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,1,3.0,0.25,0.75,0.7787193704857928,"{'0': 0.8121337469837987, '1': 0.9180627474870545, '2': 0.6059616169865251}","{'0': 2957, '1': 1762, '2': 1048}"
small_prefix,quota,4,1,3.0,0.25,0.75,0.7556425522711988,"{'0': 0.7968365553602812, '1': 0.903353057199211, '2': 0.5667380442541042}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,1,3.0,0.5,0.5,0.7778158236639507,"{'0': 0.810904071773637, '1': 0.9180627474870545, '2': 0.604480651731161}","{'0': 2951, '1': 1762, '2': 1054}"
small_prefix,quota,4,1,3.0,0.5,0.5,0.760020795780417,"{'0': 0.8014059753954306, '1': 0.903353057199211, '2': 0.5753033547466095}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,1,3.0,0.75,0.25,0.7746590789992863,"{'0': 0.8110425240054869, '1': 0.9169960474308301, '2': 0.5959386655615416}","{'0': 2987, '1': 1768, '2': 1012}"
small_prefix,quota,4,1,3.0,0.75,0.25,0.7535647304442977,"{'0': 0.7954305799648507, '1': 0.9013806706114399, '2': 0.5638829407566024}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,1,3.0,1.0,0.0,0.7508521363437333,"{'0': 0.7942925089179548, '1': 0.9148226735374356, '2': 0.5434412265758092}","{'0': 3042, '1': 1778, '2': 947}"
small_prefix,quota,4,1,3.0,1.0,0.0,0.738948338541495,"{'0': 0.7873462214411248, '1': 0.8856015779092702, '2': 0.5438972162740899}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,1,15.0,0.0,1.0,0.7739507962692933,"{'0': 0.8149273893954745, '1': 0.9211009174311927, '2': 0.5858240819812126}","{'0': 3077, '1': 1749, '2': 941}"
small_prefix,quota,4,1,15.0,0.0,1.0,0.7620002242171829,"{'0': 0.8024604569420035, '1': 0.9046679815910585, '2': 0.5788722341184868}","{'0': 2845, '1': 1521, '2': 1401}"
